Fiscal Year,Current,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015
Period Ending,"Feb 6, 2025","Sep 28, 2024","Sep 30, 2023","Sep 24, 2022","Sep 25, 2021","Sep 26, 2020",2019 - 2015
Market Capitalization,"3,503,448","3,463,350","2,676,737","2,417,523","2,428,612","1,920,273",Upgrade
Market Cap Growth,29.02%,29.39%,10.72%,-0.46%,26.47%,94.19%,Upgrade
Enterprise Value,"3,458,879","3,411,613","2,619,474","2,357,906","2,370,459","1,848,842",Upgrade
Last Close Price,233.22,227.54,170.15,148.62,144.34,109.60,Upgrade
PE Ratio,37.14,36.95,27.60,24.22,25.65,33.45,Upgrade
Forward PE,30.93,31.48,26.72,24.27,26.67,30.80,Upgrade
PS Ratio,8.98,8.86,6.98,6.13,6.64,7.00,Upgrade
PB Ratio,52.55,60.81,43.07,47.71,38.49,29.39,Upgrade
P/TBV Ratio,57.87,60.81,43.07,47.71,38.49,29.39,Upgrade
P/FCF Ratio,35.64,31.83,26.88,21.69,26.13,26.17,Upgrade
P/OCF Ratio,32.35,29.29,24.21,19.79,23.34,23.80,Upgrade
PEG Ratio,3.23,3.65,2.55,2.09,1.76,2.69,Upgrade
EV/Sales Ratio,8.74,8.72,6.83,5.98,6.48,6.73,Upgrade
EV/EBITDA Ratio,25.18,25.33,20.82,18.06,19.72,23.90,Upgrade
EV/EBIT Ratio,27.52,27.69,22.92,19.74,21.76,27.89,Upgrade
EV/FCF Ratio,35.19,31.35,26.30,21.16,25.50,25.20,Upgrade
Debt / Equity Ratio,1.45,2.09,1.99,2.61,2.16,1.87,Upgrade
Debt / EBITDA Ratio,0.63,0.79,0.87,0.90,1.01,1.39,Upgrade
Debt / FCF Ratio,0.98,1.09,1.24,1.19,1.47,1.67,Upgrade
Asset Turnover,1.13,1.09,1.09,1.12,1.08,0.83,Upgrade
Inventory Turnover,31.54,30.90,37.98,38.79,40.03,41.52,Upgrade
Quick Ratio,0.78,0.75,0.84,0.71,0.91,1.22,Upgrade
Current Ratio,0.92,0.87,0.99,0.88,1.07,1.36,Upgrade
Return on Equity (ROE),136.52%,157.41%,171.95%,175.46%,147.44%,73.69%,Upgrade
Return on Assets (ROA),22.52%,21.46%,20.26%,21.21%,20.18%,12.51%,Upgrade
Return on Capital (ROIC),45.44%,42.54%,38.70%,39.00%,35.17%,21.46%,Upgrade
Return on Capital Employed (ROCE),62.93%,65.34%,55.14%,60.09%,48.31%,30.34%,Upgrade
Earnings Yield,2.74%,2.71%,3.62%,4.13%,3.90%,2.99%,Upgrade
FCF Yield,2.81%,3.14%,3.72%,4.61%,3.83%,3.82%,Upgrade
Dividend Yield,0.43%,0.43%,0.55%,0.61%,0.59%,0.73%,Upgrade
Payout Ratio,15.92%,16.25%,15.49%,14.87%,15.28%,24.53%,Upgrade
Buyback Yield / Dilution,2.65%,2.56%,3.14%,3.20%,3.78%,5.74%,Upgrade
Total Shareholder Return,3.08%,2.99%,3.70%,3.80%,4.37%,6.47%,Upgrade
