Fiscal Year,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015
Period Ending,"Dec 31, 2024","Dec 31, 2023","Dec 31, 2022","Dec 31, 2021","Dec 31, 2020",2019 - 2015
Operating Revenue,"171,606","157,658","143,975","113,590","108,673",Upgrade
Other Revenue,"15,836","14,184","12,760","13,414","13,812",Upgrade
Revenue,"187,442","171,842","156,735","127,004","122,485",Upgrade
Revenue Growth (YoY),9.08%,9.64%,23.41%,3.69%,-10.75%,Upgrade
Cost of Revenue,"151,065","141,330","126,892","100,544","96,856",Upgrade
Gross Profit,"23,149","19,276","21,154","18,079","14,502",Upgrade
"Selling, General & Admin","10,430","9,656","9,155","6,645","5,943",Upgrade
Operating Expenses,"10,430","9,656","9,155","6,645","5,943",Upgrade
Operating Income,"12,719","9,620","11,999","11,434","8,559",Upgrade
Interest Expense,-846,-911,-987,-950,"-1,098",Upgrade
Interest & Investment Income,967,"1,109",460,146,241,Upgrade
Earnings From Equity Investments,"-4,419",342,664,"1,100",527,Upgrade
Currency Exchange Gain (Loss),321,-349,-172,-,-203,Upgrade
Other Non Operating Income (Expenses),2,669,525,415,348,Upgrade
EBT Excluding Unusual Items,"8,744","10,480","12,489","12,145","8,374",Upgrade
Merger & Restructuring Charges,-,-,-657,-,-683,Upgrade
Gain (Loss) on Sale of Investments,-225,-77,-236,571,404,Upgrade
Pretax Income,"8,519","10,403","11,596","12,716","8,095",Upgrade
Income Tax Expense,"2,556",563,"1,888","2,771","1,774",Upgrade
Earnings From Continuing Operations,"5,963","9,840","9,708","9,945","6,321",Upgrade
Net Income to Company,"5,963","9,840","9,708","9,945","6,321",Upgrade
Minority Interest in Earnings,45,287,226,74,106,Upgrade
Net Income,"6,008","10,127","9,934","10,019","6,427",Upgrade
Preferred Dividends & Other Adjustments,"-1,181",106,"1,019",182,180,Upgrade
Net Income to Common,"7,189","10,021","8,915","9,837","6,247",Upgrade
Net Income Growth,-40.67%,1.94%,-0.85%,55.89%,-4.53%,Upgrade
Shares Outstanding (Basic),"1,115","1,364","1,445","1,451","1,433",Upgrade
Shares Outstanding (Diluted),"1,129","1,369","1,454","1,468","1,442",Upgrade
Shares Change (YoY),-17.53%,-5.85%,-0.95%,1.80%,0.21%,Upgrade
EPS (Basic),6.45,7.35,6.17,6.78,4.36,Upgrade
EPS (Diluted),6.37,7.32,6.13,6.70,4.33,Upgrade
EPS Growth,-12.98%,19.41%,-8.51%,54.73%,-5.25%,Upgrade
Free Cash Flow,"9,299","9,960","6,805","7,679","11,370",Upgrade
Free Cash Flow Per Share,8.24,7.28,4.68,5.23,7.88,Upgrade
Dividend Per Share,0.480,0.360,0.180,-,0.380,Upgrade
Dividend Growth,33.33%,100.00%,-,-,-75.00%,Upgrade
Gross Margin,12.35%,11.22%,13.50%,14.23%,11.84%,Upgrade
Operating Margin,6.79%,5.60%,7.66%,9.00%,6.99%,Upgrade
Profit Margin,3.84%,5.83%,5.69%,7.75%,5.10%,Upgrade
Free Cash Flow Margin,4.96%,5.80%,4.34%,6.05%,9.28%,Upgrade
EBITDA,"18,689","15,784","17,824","16,894","13,653",Upgrade
EBITDA Margin,9.97%,9.19%,11.37%,13.30%,11.15%,Upgrade
D&A For EBITDA,"5,970","6,164","5,825","5,460","5,094",Upgrade
EBIT,"12,719","9,620","11,999","11,434","8,559",Upgrade
EBIT Margin,6.79%,5.60%,7.66%,9.00%,6.99%,Upgrade
Effective Tax Rate,30.00%,5.41%,16.28%,21.79%,21.91%,Upgrade
Revenue as Reported,"187,442","171,842","156,735","127,004","122,485",Upgrade
Advertising Expenses,"3,300","3,600","4,000","3,300","2,700",Upgrade
