Fiscal Year,Current,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015
Period Ending,"Feb 6, 2025","Dec 31, 2024","Dec 31, 2023","Dec 31, 2022","Dec 31, 2021","Dec 31, 2020",2019 - 2015
Market Capitalization,"47,690","58,575","49,192","47,792","85,123","59,600",Upgrade
Market Cap Growth,19.08%,19.08%,2.93%,-43.85%,42.82%,13.97%,Upgrade
Enterprise Value,"156,600","163,954","144,672","141,519","182,182","150,645",Upgrade
Last Close Price,47.93,53.27,35.55,32.94,57.15,40.59,Upgrade
PE Ratio,7.52,8.15,4.91,5.36,8.65,9.54,Upgrade
Forward PE,4.23,5.37,5.14,5.35,9.19,6.40,Upgrade
PS Ratio,0.29,0.31,0.29,0.30,0.67,0.49,Upgrade
PB Ratio,0.76,0.89,0.72,0.66,1.29,1.20,Upgrade
P/TBV Ratio,1.00,1.00,0.83,0.76,1.56,1.50,Upgrade
P/FCF Ratio,5.13,6.30,4.94,7.02,11.09,5.24,Upgrade
P/OCF Ratio,2.37,2.91,2.35,2.98,5.60,3.58,Upgrade
PEG Ratio,0.57,0.31,0.80,1.72,0.60,0.56,Upgrade
EV/Sales Ratio,0.84,0.87,0.84,0.90,1.43,1.23,Upgrade
EV/EBITDA Ratio,8.38,8.77,9.17,7.94,10.78,11.03,Upgrade
EV/EBIT Ratio,12.31,12.89,15.04,11.79,15.93,17.60,Upgrade
EV/FCF Ratio,16.84,17.63,14.53,20.80,23.72,13.25,Upgrade
Debt / Equity Ratio,2.00,2.00,1.80,1.60,1.68,2.24,Upgrade
Debt / EBITDA Ratio,6.87,6.87,7.62,6.39,6.43,7.95,Upgrade
Debt / FCF Ratio,14.08,14.08,12.34,17.03,14.40,9.77,Upgrade
Asset Turnover,0.68,0.68,0.64,0.62,0.53,0.53,Upgrade
Inventory Turnover,9.74,9.74,8.88,8.95,8.66,9.39,Upgrade
Quick Ratio,0.90,0.90,0.83,0.86,0.84,0.79,Upgrade
Current Ratio,1.13,1.13,1.08,1.10,1.10,1.01,Upgrade
Return on Equity (ROE),8.91%,8.91%,14.00%,14.06%,17.22%,13.22%,Upgrade
Return on Assets (ROA),2.88%,2.88%,2.24%,2.95%,2.98%,2.31%,Upgrade
Return on Capital (ROIC),4.10%,4.10%,3.17%,4.11%,4.24%,3.44%,Upgrade
Return on Capital Employed (ROCE),6.93%,6.93%,5.39%,6.94%,6.71%,5.51%,Upgrade
Earnings Yield,15.07%,10.26%,20.59%,20.79%,11.77%,10.78%,Upgrade
FCF Yield,19.50%,15.88%,20.25%,14.24%,9.02%,19.08%,Upgrade
Dividend Yield,1.00%,0.90%,1.01%,0.55%,-,0.94%,Upgrade
Payout Ratio,7.54%,8.82%,4.71%,2.59%,-,10.41%,Upgrade
Buyback Yield / Dilution,17.53%,17.53%,5.85%,0.95%,-1.80%,-0.21%,Upgrade
Total Shareholder Return,18.53%,18.43%,6.86%,1.50%,-1.80%,0.73%,Upgrade
