Fiscal Year,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015
Period Ending,"Dec 31, 2024","Dec 31, 2023","Dec 31, 2022","Dec 31, 2021","Dec 31, 2020",2019 - 2015
Net Income,"7,091","14,997","12,556","5,519",721,Upgrade
Depreciation & Amortization,"5,368","4,667","3,747","2,911","2,322",Upgrade
Stock-Based Compensation,"1,999","1,812","1,560","2,121","1,734",Upgrade
Other Operating Activities,384,"-5,972",573,279,982,Upgrade
Change in Accounts Receivable,"-1,083",-586,"-1,124",-130,-652,Upgrade
Change in Inventory,937,"-1,195","-6,465","-1,709",-422,Upgrade
Change in Accounts Payable,"3,588","2,605","8,029","5,367","2,102",Upgrade
Change in Unearned Revenue,502,"1,532","1,131",793,321,Upgrade
Change in Other Net Operating Assets,"-3,863","-4,604","-5,283","-3,654","-1,165",Upgrade
Operating Cash Flow,"14,923","13,256","14,724","11,497","5,943",Upgrade
Operating Cash Flow Growth,12.58%,-9.97%,28.07%,93.45%,147.11%,Upgrade
Capital Expenditures,"-11,342","-8,899","-7,163","-6,514","-3,232",Upgrade
Cash Acquisitions,-,-64,-,-,-13,Upgrade
Sale (Purchase) of Intangibles,-,-,-9,-,-10,Upgrade
Investment in Securities,"-7,445","-6,621","-5,813",-132,-,Upgrade
Other Investing Activities,-,-,"1,012","-1,222",123,Upgrade
Investing Cash Flow,"-18,787","-15,584","-11,973","-7,868","-3,132",Upgrade
Long-Term Debt Issued,"5,744","3,931",-,"8,883","9,713",Upgrade
Long-Term Debt Repaid,"-2,881","-1,815","-3,866","-14,615","-12,201",Upgrade
Net Debt Issued (Repaid),"2,863","2,116","-3,866","-5,732","-2,488",Upgrade
Issuance of Common Stock,"1,241",700,541,707,"12,686",Upgrade
Other Financing Activities,-251,-227,-202,-178,-225,Upgrade
Financing Cash Flow,"3,853","2,589","-3,527","-5,203","9,973",Upgrade
Foreign Exchange Rate Adjustments,-141,4,-444,-183,334,Upgrade
Net Cash Flow,-152,265,"-1,220","-1,757","13,118",Upgrade
Free Cash Flow,"3,581","4,357","7,561","4,983","2,711",Upgrade
Free Cash Flow Growth,-17.81%,-42.38%,51.74%,83.81%,178.62%,Upgrade
Free Cash Flow Margin,3.67%,4.50%,9.28%,9.26%,8.60%,Upgrade
Free Cash Flow Per Share,1.02,1.25,2.18,1.47,0.83,Upgrade
Cash Interest Paid,277,126,152,266,444,Upgrade
Cash Income Tax Paid,"1,331","1,119","1,203",561,115,Upgrade
Levered Free Cash Flow,"-1,191","2,230","4,186","6,221","3,244",Upgrade
Unlevered Free Cash Flow,-972.5,"2,328","4,305","6,453","3,711",Upgrade
Change in Net Working Capital,"1,420",809,"2,365","-3,858","-1,678",Upgrade
