Fiscal Year,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015
Period Ending,"Dec 31, 2024","Dec 31, 2023","Dec 31, 2022","Dec 31, 2021","Dec 31, 2020",2019 - 2015
Revenue,"97,690","96,773","81,462","53,823","31,536",Upgrade
Revenue Growth (YoY),0.95%,18.80%,51.35%,70.67%,28.31%,Upgrade
Cost of Revenue,"80,240","79,113","60,609","40,217","24,906",Upgrade
Gross Profit,"17,450","17,660","20,853","13,606","6,630",Upgrade
"Selling, General & Admin","5,150","4,800","3,946","4,517","3,188",Upgrade
Research & Development,"4,540","3,969","3,075","2,593","1,491",Upgrade
Other Operating Expenses,684,-,176,-27,-,Upgrade
Operating Expenses,"10,374","8,769","7,197","7,083","4,679",Upgrade
Operating Income,"7,076","8,891","13,656","6,523","1,951",Upgrade
Interest Expense,-350,-156,-191,-371,-748,Upgrade
Interest & Investment Income,"1,569","1,066",297,56,30,Upgrade
Currency Exchange Gain (Loss),57,122,-89,97,-114,Upgrade
Other Non Operating Income (Expenses),638,50,46,38,-8,Upgrade
EBT Excluding Unusual Items,"8,990","9,973","13,719","6,343","1,111",Upgrade
Legal Settlements,-,-,-,-,43,Upgrade
Pretax Income,"8,990","9,973","13,719","6,343","1,154",Upgrade
Income Tax Expense,"1,837","-5,001","1,132",699,292,Upgrade
Earnings From Continuing Operations,"7,153","14,974","12,587","5,644",862,Upgrade
Minority Interest in Earnings,-62,23,-31,-125,-141,Upgrade
Net Income,"7,091","14,997","12,556","5,519",721,Upgrade
Preferred Dividends & Other Adjustments,-39,-2,-27,-5,31,Upgrade
Net Income to Common,"7,130","14,999","12,583","5,524",690,Upgrade
Net Income Growth,-52.72%,19.44%,127.50%,665.46%,-,Upgrade
Shares Outstanding (Basic),"3,197","3,174","3,130","2,959","2,798",Upgrade
Shares Outstanding (Diluted),"3,498","3,485","3,475","3,386","3,249",Upgrade
Shares Change (YoY),0.37%,0.29%,2.63%,4.22%,22.10%,Upgrade
EPS (Basic),2.23,4.73,4.02,1.87,0.25,Upgrade
EPS (Diluted),2.04,4.30,3.62,1.63,0.21,Upgrade
EPS Growth,-52.56%,18.74%,121.61%,678.13%,-,Upgrade
Free Cash Flow,"3,581","4,357","7,561","4,983","2,711",Upgrade
Free Cash Flow Per Share,1.02,1.25,2.18,1.47,0.83,Upgrade
Gross Margin,17.86%,18.25%,25.60%,25.28%,21.02%,Upgrade
Operating Margin,7.24%,9.19%,16.76%,12.12%,6.19%,Upgrade
Profit Margin,7.30%,15.50%,15.45%,10.26%,2.19%,Upgrade
Free Cash Flow Margin,3.67%,4.50%,9.28%,9.26%,8.60%,Upgrade
EBITDA,"12,444","13,558","17,403","9,434","4,273",Upgrade
EBITDA Margin,12.74%,14.01%,21.36%,17.53%,13.55%,Upgrade
D&A For EBITDA,"5,368","4,667","3,747","2,911","2,322",Upgrade
EBIT,"7,076","8,891","13,656","6,523","1,951",Upgrade
EBIT Margin,7.24%,9.19%,16.76%,12.12%,6.19%,Upgrade
Effective Tax Rate,20.43%,-,8.25%,11.02%,25.30%,Upgrade
Revenue as Reported,"97,690","96,773","81,462","53,823","31,536",Upgrade
