Fiscal Year,Current,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015
Period Ending,"Feb 6, 2025","Dec 31, 2024","Dec 31, 2023","Dec 31, 2022","Dec 31, 2021","Dec 31, 2020",2019 - 2015
Market Capitalization,"1,204,007","1,296,350","789,898","388,972","1,063,564","668,905",Upgrade
Market Cap Growth,64.12%,64.12%,103.07%,-63.43%,59.00%,787.12%,Upgrade
Enterprise Value,"1,181,067","1,276,264","773,037","375,012","1,059,068","671,006",Upgrade
Last Close Price,374.32,403.84,248.48,123.18,352.26,235.22,Upgrade
PE Ratio,183.49,181.82,52.66,30.91,192.54,969.43,Upgrade
Forward PE,127.48,129.45,69.84,23.74,125.57,178.36,Upgrade
PS Ratio,12.25,13.27,8.16,4.77,19.76,21.21,Upgrade
PB Ratio,16.51,17.59,12.42,8.47,33.68,28.25,Upgrade
P/TBV Ratio,17.88,17.88,12.70,8.78,35.77,30.82,Upgrade
P/FCF Ratio,336.22,362.01,181.29,51.44,213.44,246.74,Upgrade
P/OCF Ratio,80.68,86.87,59.59,26.42,92.51,112.55,Upgrade
PEG Ratio,8.66,15.45,4.16,0.81,2.32,1.19,Upgrade
EV/Sales Ratio,12.09,13.06,7.99,4.60,19.68,21.28,Upgrade
EV/EBITDA Ratio,90.66,102.56,57.02,21.55,112.26,157.03,Upgrade
EV/EBIT Ratio,154.21,180.37,86.95,27.46,162.36,343.93,Upgrade
EV/FCF Ratio,329.81,356.40,177.42,49.60,212.54,247.51,Upgrade
Debt / Equity Ratio,0.18,0.18,0.15,0.13,0.28,0.56,Upgrade
Debt / EBITDA Ratio,0.98,0.98,0.65,0.32,0.88,2.82,Upgrade
Debt / FCF Ratio,3.80,3.80,2.20,0.76,1.78,4.92,Upgrade
Asset Turnover,0.85,0.85,1.02,1.13,0.94,0.73,Upgrade
Inventory Turnover,6.26,6.26,5.98,6.52,8.16,6.51,Upgrade
Quick Ratio,1.43,1.43,1.14,0.95,1.00,1.49,Upgrade
Current Ratio,2.02,2.02,1.73,1.53,1.38,1.88,Upgrade
Return on Equity (ROE),10.42%,10.42%,27.35%,32.49%,20.43%,5.42%,Upgrade
Return on Assets (ROA),3.87%,3.87%,5.88%,11.82%,7.13%,2.82%,Upgrade
Return on Capital (ROIC),5.51%,5.51%,8.90%,18.53%,10.52%,4.08%,Upgrade
Return on Capital Employed (ROCE),7.59%,7.59%,11.42%,24.55%,15.38%,5.15%,Upgrade
Earnings Yield,0.59%,0.55%,1.90%,3.23%,0.52%,0.11%,Upgrade
FCF Yield,0.30%,0.28%,0.55%,1.94%,0.47%,0.41%,Upgrade
Buyback Yield / Dilution,-0.37%,-0.37%,-0.29%,-2.63%,-4.22%,-22.10%,Upgrade
Total Shareholder Return,-0.37%,-0.37%,-0.29%,-2.63%,-4.22%,-22.10%,Upgrade
